AMI Meter ID,date,16335457,18762999,230156289,Residential,Total
3/21/21 0:00,3/21/21 0:30,104.192,28.649,46.68,67808.216,71482.267
3/21/21 0:30,3/21/21 1:00,104.848,28.578,51.6,67808.216,71395.502
3/21/21 1:00,3/21/21 1:30,106.16,29.929,55.29,68586.253,72266.724
3/21/21 1:30,3/21/21 2:00,104.192,29.488,50.37,68586.253,72069.14
3/21/21 2:00,3/21/21 2:30,104.192,28.645,52.83,71152.56,74632.641
3/21/21 2:30,3/21/21 3:00,104.192,28.467,57.75,71152.56,74498.207
3/21/21 3:00,3/21/21 3:30,105.504,28.777,58.98,75216.644,78479.523
3/21/21 3:30,3/21/21 4:00,104.848,28.644,58.98,75216.644,78356.666
3/21/21 4:00,3/21/21 4:30,104.192,28.982,56.52,79730.587,82826.263
3/21/21 4:30,3/21/21 5:00,104.848,29.074,58.98,79730.587,82951.917
3/21/21 5:00,3/21/21 5:30,105.504,29.012,66.33,86088.408,89383.22
3/21/21 5:30,3/21/21 6:00,104.848,29.728,68.79,86088.408,89559.291
3/21/21 6:00,3/21/21 6:30,106.816,29.819,60.21,92437.953,96042.403
3/21/21 6:30,3/21/21 7:00,108.128,29.283,66.33,92437.953,96380.106
3/21/21 7:00,3/21/21 7:30,108.784,28.658,68.79,100382.895,104231.389
3/21/21 7:30,3/21/21 8:00,109.44,28.554,70.02,100382.895,104310.242
3/21/21 8:00,3/21/21 8:30,108.128,28.698,61.44,107399.983,111312.973
3/21/21 8:30,3/21/21 9:00,107.472,29.032,65.1,107399.983,111284.583
3/21/21 9:00,3/21/21 9:30,107.472,29.502,52.83,103391.943,107230.291
3/21/21 9:30,3/21/21 10:00,106.816,29.467,46.68,103391.943,107526.887
3/21/21 10:00,3/21/21 10:30,106.816,29.445,46.68,89541.447,93586.403
3/21/21 10:30,3/21/21 11:00,106.816,29.983,45.45,89541.447,93660.234
3/21/21 11:00,3/21/21 11:30,106.816,30.116,44.22,76404.564,80418.078
3/21/21 11:30,3/21/21 12:00,106.16,29.616,39.3,76404.564,80413.466
3/21/21 12:00,3/21/21 12:30,106.816,29.4,35.61,68619.374,72557.423
3/21/21 12:30,3/21/21 13:00,106.16,28.486,34.38,68619.374,72730.545
3/21/21 13:00,3/21/21 13:30,106.16,28.795,35.61,62761.943,66954.298
3/21/21 13:30,3/21/21 14:00,106.816,28.205,31.92,62761.943,67188.133
3/21/21 14:00,3/21/21 14:30,105.504,28.644,30.72,58625.282,63173.033
3/21/21 14:30,3/21/21 15:00,105.504,28.091,25.8,58625.282,62913.154
3/21/21 15:00,3/21/21 15:30,106.16,29.214,30.72,56875.032,60957.58
3/21/21 15:30,3/21/21 16:00,106.16,28.679,29.49,56875.032,60808.24
3/21/21 16:00,3/21/21 16:30,106.16,28.938,24.57,57633.786,61709.606
3/21/21 16:30,3/21/21 17:00,106.816,30.01,24.57,57633.786,61589.567
3/21/21 17:00,3/21/21 17:30,106.16,29.338,27.03,59747.624,63700.347
3/21/21 17:30,3/21/21 18:00,106.16,29.763,29.49,59747.624,63393.612
3/21/21 18:00,3/21/21 18:30,106.816,29.255,24.57,61902.706,65416.422
3/21/21 18:30,3/21/21 19:00,106.16,29.244,24.57,61902.706,65494.593
3/21/21 19:00,3/21/21 19:30,106.816,29.425,28.26,65474.651,69100.401
3/21/21 19:30,3/21/21 20:00,106.816,29.111,25.8,65474.651,69149.856
3/21/21 20:00,3/21/21 20:30,106.16,29.291,29.49,71674.502,75481.748
3/21/21 20:30,3/21/21 21:00,107.472,29.514,29.49,71674.502,75393.33
3/21/21 21:00,3/21/21 21:30,106.816,29.865,30.72,70016.455,73644.092
3/21/21 21:30,3/21/21 22:00,108.128,30.088,29.49,70016.455,73554.606
3/21/21 22:00,3/21/21 22:30,107.472,30.11,31.92,63643.327,67163.544
3/21/21 22:30,3/21/21 23:00,106.816,29.911,27.03,63643.327,67075.463
3/21/21 23:00,3/21/21 23:30,107.472,30.274,33.15,56722.434,60244.094
3/21/21 23:30,3/22/21 0:00,106.816,29.395,35.61,56722.434,60197.5
3/22/21 0:00,3/22/21 0:30,107.472,29.125,36.84,51860.501,55399.755
3/22/21 0:30,3/22/21 1:00,108.784,28.602,39.3,51860.501,55281.395
3/22/21 1:00,3/22/21 1:30,107.472,28.623,41.76,49925.748,53313.62
3/22/21 1:30,3/22/21 2:00,107.472,28.531,40.53,49925.748,53203.636
3/22/21 2:00,3/22/21 2:30,107.472,29.209,38.07,51175.318,54495.403
3/22/21 2:30,3/22/21 3:00,106.816,28.693,46.68,51175.318,54413.538
3/22/21 3:00,3/22/21 3:30,107.472,29.103,42.99,53828.393,56927.198
3/22/21 3:30,3/22/21 4:00,108.784,29.374,46.68,53828.393,57013.1
3/22/21 4:00,3/22/21 4:30,106.816,28.528,47.91,58792.909,62061.84
3/22/21 4:30,3/22/21 5:00,108.128,28.403,45.45,58792.909,62198.953
3/22/21 5:00,3/22/21 5:30,107.472,28.668,47.91,66012.558,69586.873
3/22/21 5:30,3/22/21 6:00,107.472,28.691,49.14,66012.558,69752.967
3/22/21 6:00,3/22/21 6:30,147.456,29.014,47.91,76414.449,80534.537
3/22/21 6:30,3/22/21 7:00,152.688,29.092,52.83,76414.449,80865.805
3/22/21 7:00,3/22/21 7:30,152.032,28.506,47.91,84285.766,89028.898
3/22/21 7:30,3/22/21 8:00,152.032,28.574,54.06,84285.766,89183.089
3/22/21 8:00,3/22/21 8:30,152.032,28.561,52.83,84480.352,89344.918
3/22/21 8:30,3/22/21 9:00,152.032,28.555,51.6,84480.352,89418.291
3/22/21 9:00,3/22/21 9:30,151.376,24.768,52.83,75600.884,80717.818
3/22/21 9:30,3/22/21 10:00,150.72,24.96,55.29,75600.884,80598.11
3/22/21 10:00,3/22/21 10:30,151.376,25.152,42.99,65852.242,70888.734
3/22/21 10:30,3/22/21 11:00,150.72,26.342,40.53,65852.242,70913.256
3/22/21 11:00,3/22/21 11:30,150.72,27.13,40.53,58949.433,64003.939
3/22/21 11:30,3/22/21 12:00,150.72,25.939,42.99,58949.433,64235.506
3/22/21 12:00,3/22/21 12:30,150.72,25.555,40.53,54193.203,59463.848
3/22/21 12:30,3/22/21 13:00,151.376,25.344,31.92,54193.203,59463.714
3/22/21 13:00,3/22/21 13:30,150.064,25.555,34.38,50919.509,56252.428
3/22/21 13:30,3/22/21 14:00,85.184,25.555,30.72,50919.509,55598.253
3/22/21 14:00,3/22/21 14:30,51.104,25.555,28.26,48950.863,53634.57
3/22/21 14:30,3/22/21 15:00,101.568,26.918,27.03,48950.863,53577.206
3/22/21 15:00,3/22/21 15:30,101.568,27.706,25.8,49307.759,53932.721
3/22/21 15:30,3/22/21 16:00,102.224,27.917,30.72,49307.759,53846.462
3/22/21 16:00,3/22/21 16:30,101.568,27.13,30.72,51527.007,56063.125
3/22/21 16:30,3/22/21 17:00,102.224,26.342,25.8,51527.007,55702.476
3/22/21 17:00,3/22/21 17:30,102.224,25.747,22.11,56234.078,60253.665
3/22/21 17:30,3/22/21 18:00,102.224,25.747,24.57,56234.078,60277.432
3/22/21 18:00,3/22/21 18:30,101.568,24.96,23.34,60446.143,64574.662
3/22/21 18:30,3/22/21 19:00,101.568,24.768,20.88,60446.143,64335.454
3/22/21 19:00,3/22/21 19:30,102.224,24.96,22.11,64201.498,68220.755
3/22/21 19:30,3/22/21 20:00,102.88,24.768,27.03,64201.498,68260.06
3/22/21 20:00,3/22/21 20:30,102.88,24.576,24.57,69274.126,73366.992
3/22/21 20:30,3/22/21 21:00,102.88,24.96,24.57,69274.126,73277.847
3/22/21 21:00,3/22/21 21:30,102.88,25.939,24.57,66542.185,70548.322
3/22/21 21:30,3/22/21 22:00,102.88,26.534,23.34,66542.185,70436.258
3/22/21 22:00,3/22/21 22:30,102.88,26.342,27.03,59967.918,63997.511
3/22/21 22:30,3/22/21 23:00,103.536,24.96,31.92,59967.918,63827.561
3/22/21 23:00,3/22/21 23:30,104.192,24.365,29.49,51912.351,55815.656
3/22/21 23:30,3/23/21 0:00,103.536,23.981,28.26,51912.351,55698.371
3/23/21 0:00,3/23/21 0:30,102.88,23.789,28.26,45562.58,49450.921
3/23/21 0:30,3/23/21 1:00,102.88,23.981,27.03,45562.58,48979.076
3/23/21 1:00,3/23/21 1:30,103.536,23.981,30.72,44202.087,49206.641
3/23/21 1:30,3/23/21 2:00,103.536,23.981,35.61,44202.087,47619.761
3/23/21 2:00,3/23/21 2:30,102.88,24.365,29.49,43956.165,47447.483
3/23/21 2:30,3/23/21 3:00,104.192,24.173,34.38,43956.165,49095.284
3/23/21 3:00,3/23/21 3:30,103.536,25.555,29.49,45338.557,48572.952
3/23/21 3:30,3/23/21 4:00,102.88,24.768,34.38,45338.557,48531.462
3/23/21 4:00,3/23/21 4:30,103.536,24.365,38.07,46117.414,49450.319
3/23/21 4:30,3/23/21 5:00,102.88,23.789,34.38,46117.414,49481.191
3/23/21 5:00,3/23/21 5:30,102.88,23.386,38.07,50465.404,54054.794
3/23/21 5:30,3/23/21 6:00,103.536,23.578,31.92,50465.404,53880.019
3/23/21 6:00,3/23/21 6:30,104.192,29.178,33.15,58431.407,62585.922
3/23/21 6:30,3/23/21 7:00,102.88,28.985,36.84,58431.407,62791.26
3/23/21 7:00,3/23/21 7:30,102.88,29.653,35.61,63808.834,68352.557
3/23/21 7:30,3/23/21 8:00,102.88,28.679,39.3,63808.834,68240.135
3/23/21 8:00,3/23/21 8:30,102.88,28.308,42.99,64066.506,68717.198
3/23/21 8:30,3/23/21 9:00,102.88,28.017,40.53,64066.506,68588.075
3/23/21 9:00,3/23/21 9:30,102.224,23.789,45.45,62708.964,67412.324
3/23/21 9:30,3/23/21 10:00,102.88,23.194,47.91,62708.964,67029.753
3/23/21 10:00,3/23/21 10:30,103.536,23.002,40.53,59807.475,64375.116
3/23/21 10:30,3/23/21 11:00,102.88,22.214,38.07,59807.475,64338.47
3/23/21 11:00,3/23/21 11:30,102.224,22.214,41.76,56426.427,60848.021
3/23/21 11:30,3/23/21 12:00,102.224,23.002,31.92,56426.427,61033.333
3/23/21 12:00,3/23/21 12:30,100.912,23.789,31.92,51664.033,56452.599
3/23/21 12:30,3/23/21 13:00,101.568,24.365,36.84,51664.033,56504.413
3/23/21 13:00,3/23/21 13:30,101.568,25.939,31.92,48987.01,53598.699
3/23/21 13:30,3/23/21 14:00,101.568,26.534,29.49,48987.01,53661.397
3/23/21 14:00,3/23/21 14:30,101.568,26.534,25.8,47684.031,52356.523
3/23/21 14:30,3/23/21 15:00,102.224,24.365,23.34,47684.031,52193.378
3/23/21 15:00,3/23/21 15:30,101.568,23.789,27.03,48214.933,52535.555
3/23/21 15:30,3/23/21 16:00,102.224,22.79,23.34,48214.933,52553.701
3/23/21 16:00,3/23/21 16:30,100.912,22.79,22.11,52221.493,56673.388
3/23/21 16:30,3/23/21 17:00,102.224,23.002,27.03,52221.493,56463.08
3/23/21 17:00,3/23/21 17:30,102.224,22.79,31.92,58935.969,62971.406
3/23/21 17:30,3/23/21 18:00,102.224,23.002,27.03,58935.969,63138.645
3/23/21 18:00,3/23/21 18:30,102.224,24.768,23.34,63602.432,67897.606
3/23/21 18:30,3/23/21 19:00,102.88,24.365,22.11,63602.432,67642.625
3/23/21 19:00,3/23/21 19:30,102.224,25.747,23.34,66117.22,70246.384
3/23/21 19:30,3/23/21 20:00,102.88,24.768,25.8,66117.22,70289.457
3/23/21 20:00,3/23/21 20:30,102.224,23.578,27.03,69066.415,73192.695
3/23/21 20:30,3/23/21 21:00,102.88,23.194,24.57,69066.415,73308.721
3/23/21 21:00,3/23/21 21:30,102.88,23.578,27.03,66333.729,70348.939
3/23/21 21:30,3/23/21 22:00,103.536,23.789,27.03,66333.729,70240.266
3/23/21 22:00,3/23/21 22:30,104.192,23.981,23.34,59351.742,63337.718
3/23/21 22:30,3/23/21 23:00,105.504,23.981,33.15,59351.742,63124.368
3/23/21 23:00,3/23/21 23:30,107.472,23.981,31.92,51860.986,55820.423
3/23/21 23:30,3/24/21 0:00,106.16,24.365,28.26,51860.986,55759.344
3/24/21 0:00,3/24/21 0:30,107.472,24.768,31.92,45396.374,49444.032
3/24/21 0:30,3/24/21 1:00,106.16,25.555,25.8,45396.374,49073.048
3/24/21 1:00,3/24/21 1:30,107.472,24.365,29.49,42900.912,46613.839
3/24/21 1:30,3/24/21 2:00,106.816,23.194,33.15,42900.912,46271.577
3/24/21 2:00,3/24/21 2:30,107.472,28.682,28.26,42189.223,95427.374
3/24/21 2:30,3/24/21 3:00,107.472,28.225,30.72,42189.223,70163.593
3/24/21 3:00,3/24/21 3:30,106.816,28.574,29.49,42550.295,92170.221
3/24/21 3:30,3/24/21 4:00,106.816,29.122,29.49,42550.295,46105.462
3/24/21 4:00,3/24/21 4:30,106.816,28.882,34.38,44394.503,48117.176
3/24/21 4:30,3/24/21 5:00,106.816,28.953,33.15,44394.503,48571.505
3/24/21 5:00,3/24/21 5:30,106.816,29.268,30.72,48553.553,52378.092
3/24/21 5:30,3/24/21 6:00,106.16,29.363,34.38,48553.553,52322.554
3/24/21 6:00,3/24/21 6:30,107.472,29.627,30.72,55647.769,59925.601
3/24/21 6:30,3/24/21 7:00,107.472,29.327,33.15,55647.769,60319.794
3/24/21 7:00,3/24/21 7:30,106.16,29.303,34.38,60009.103,64789.071
3/24/21 7:30,3/24/21 8:00,106.816,29.184,33.15,60009.103,64859.754
3/24/21 8:00,3/24/21 8:30,106.816,28.785,36.84,60462.029,65482.583
3/24/21 8:30,3/24/21 9:00,106.16,28.749,34.38,60462.029,65378.917
